skill_gap_deficit,fine_content_gain,sharp_wins_at_point,flip_support_fraction,reversal_observed,analytic_flip_expected,rmse_sharp_point,rmse_broad_point,rmse_sharp_max_support,rmse_broad_max_support
0.2,0.6,True,0.01,True,True,0.28354518202957435,0.4993860767423194,0.6637558484510245,0.7416461405544292
0.2,0.72,True,0.01,True,True,0.2450728450318994,0.4993860767423194,0.6928225923177895,0.7416461405544292
0.2,0.82,True,0.01,True,True,0.2204342140484231,0.4993860767423194,0.7199588612585374,0.7416461405544292
0.2,0.9,True,0.01,True,True,0.2073677867622474,0.4993860767423194,0.7433683995639859,0.7416461405544292
0.2,1.0,True,0.01,True,True,0.20123679160226543,0.4993860767423194,0.7745311477956544,0.7416461405544292
0.2,1.1,True,0.01,True,True,0.2072951096066746,0.4993860767423194,0.8075769865503566,0.7416461405544292
0.26,0.15,True,0.005,True,True,0.49823817775062407,0.4993860767423194,0.5590054511796896,0.7416461405544292
0.26,0.3,True,0.01,True,True,0.4362526926606179,0.4993860767423194,0.5738230003454309,0.7416461405544292
0.26,0.45,True,0.01,True,True,0.3789418449904242,0.4993860767423194,0.5977156154459965,0.7416461405544292
0.26,0.6,True,0.01,True,True,0.3287595045950519,0.4993860767423194,0.6296510606012433,0.7416461405544292
0.26,0.72,True,0.01,True,True,0.2962083682207162,0.4993860767423194,0.6602162771484991,0.7416461405544292
0.26,0.82,True,0.01,True,True,0.2761607100474073,0.4993860767423194,0.6886348430840279,0.7416461405544292
0.26,0.9,True,0.01,True,True,0.26583967283392596,0.4993860767423194,0.713070543698188,0.7416461405544292
0.26,1.0,True,0.01,True,True,0.2610754220123786,0.4993860767423194,0.7454973633381633,0.7416461405544292
0.26,1.1,True,0.01,True,True,0.26576340826043626,0.4993860767423194,0.7797712523958847,0.7416461405544292
0.32,0.15,False,,False,False,0.5321334550664146,0.4993860767423194,0.524990968336787,0.7416461405544292
0.32,0.3,True,0.005,True,True,0.4745875468388157,0.4993860767423194,0.5407341802033689,0.7416461405544292
0.32,0.45,True,0.01,True,True,0.42249975760203745,0.4993860767423194,0.5660183481045044,0.7416461405544292
0.32,0.6,True,0.01,True,True,0.3781324247916408,0.4993860767423194,0.5996377799033548,0.7416461405544292
0.32,0.72,True,0.01,True,True,0.35019205108590323,0.4993860767423194,0.631652038709231,0.7416461405544292
0.32,0.82,True,0.01,True,True,0.33339857533056844,0.4993860767423194,0.6612953270074271,0.7416461405544292
0.32,0.9,True,0.01,True,True,0.3248945083039217,0.4993860767423194,0.68670153656269,0.7416461405544292
0.32,1.0,True,0.01,True,True,0.32099981755654,0.4993860767423194,0.7203127902449571,0.7416461405544292
0.32,1.1,True,0.005,True,True,0.32481609116758026,0.4993860767423194,0.7557262732816432,0.7416461405544292
0.4,0.15,False,,False,False,0.5839159180062448,0.4993860767423194,0.48752321894168504,0.7416461405544292
0.4,0.3,False,,False,False,0.5319912771392262,0.4993860767423194,0.5044268230872131,0.7416461405544292
0.4,0.45,True,0.005,True,True,0.48608334527023717,0.4993860767423194,0.5314313978663522,0.7416461405544292
0.4,0.6,True,0.005,True,True,0.44804541967496364,0.4993860767423194,0.5670957779531088,0.7416461405544292
0.4,0.72,True,0.005,True,True,0.42471957252607007,0.4993860767423194,0.6008395189403013,0.7416461405544292
0.4,0.82,True,0.005,True,True,0.4109743487946071,0.4993860767423194,0.631924363930105,0.7416461405544292
0.4,0.9,True,0.005,True,True,0.4040992415411392,0.4993860767423194,0.6584605855155988,0.7416461405544292
0.4,1.0,True,0.005,True,True,0.4009659599655957,0.4993860767423194,0.6934370345187689,0.7416461405544292
0.4,1.1,True,0.005,True,True,0.4040190267214013,0.4993860767423194,0.7301504419443929,0.7416461405544292
0.48,0.15,False,,False,False,0.6415439966497699,0.4993860767423194,0.46105463474023944,0.7416461405544292
0.48,0.3,False,,False,False,0.5946639499129687,0.4993860767423194,0.4788825545952121,0.7416461405544292
0.48,0.45,False,,False,False,0.5539648968667216,0.4993860767423194,0.50723860846898,0.7416461405544292
0.48,0.6,False,,False,False,0.5208976680123951,0.4993860767423194,0.5444803859581977,0.7416461405544292
0.48,0.72,False,,False,False,0.5009671376106742,0.4993860767423194,0.57953522073419,0.7416461405544292
0.48,0.82,True,0.005,True,True,0.48936115062188856,0.4993860767423194,0.6116979720182208,0.7416461405544292
0.48,0.9,True,0.005,True,True,0.48359597551916156,0.4993860767423194,0.639070262235429,0.7416461405544292
0.48,1.0,True,0.005,True,True,0.48097363157148243,0.4993860767423194,0.6750469916457831,0.7416461405544292
0.48,1.1,True,0.005,True,True,0.4835146014967486,0.4993860767423194,0.7127034801733135,0.7416461405544292
