weighting,metric,support_fraction,model_a,model_b,contrast_a_minus_b,pointwise_ci_low,pointwise_ci_high,simultaneous_ci_low,simultaneous_ci_high,bootstrap_probability_a_better
uniform,rmse,0.04,sharp,mid,0.21642258038045115,0.21462329620249715,0.21832717459886944,0.2139679803899662,0.2188771803709361,0.0
uniform,rmse,0.04,sharp,broad,0.3668797026221686,0.36291466687431834,0.37095603235901087,0.3614424266664945,0.37231697857784274,0.0
uniform,rmse,0.04,mid,broad,0.1504571222417175,0.14802954693451453,0.15298818183473603,0.1471555229092792,0.15375872157415582,0.0
uniform,rmse,0.08,sharp,mid,0.17361300642719446,0.17169353871790666,0.17554904430793442,0.17100745600747394,0.17621855684691498,0.0
uniform,rmse,0.08,sharp,broad,0.2230252637642443,0.21918011756031294,0.22701603076888982,0.21775730865797882,0.2282932188705098,0.0
uniform,rmse,0.08,mid,broad,0.04941225733704985,0.04723761209880169,0.05158565297819766,0.04646451191125951,0.05236000276284018,0.0
uniform,rmse,0.16,sharp,mid,0.13419076126633722,0.1323820942525093,0.13598079655649067,0.13180992927372107,0.13657159325895338,0.0
uniform,rmse,0.16,sharp,broad,0.13903161131460073,0.13546315035351855,0.14252222799902134,0.13429579168080802,0.14376743094839345,0.0
uniform,rmse,0.16,mid,broad,0.004840850048263512,0.0027948559881597838,0.006736865969698546,0.0022097386772170838,0.00747196141930994,0.0
gaussian,mae,0.0,sharp,mid,-0.16361613197428024,-0.1650779062865814,-0.16215960067848206,-0.16557236649913573,-0.16165989744942474,1.0
gaussian,mae,0.0,sharp,broad,-0.3757564941680391,-0.37905246087780253,-0.3724405277387802,-0.3801726626192745,-0.37134032571680364,1.0
gaussian,mae,0.0,mid,broad,-0.21214036219375887,-0.21400427061607386,-0.2102048443718644,-0.21465876883922008,-0.20962195554829766,1.0
gaussian,mae,0.005,sharp,mid,-0.06220769871696277,-0.06293712639907854,-0.06147803700487266,-0.0632047442343888,-0.06121065319953675,1.0
gaussian,mae,0.005,sharp,broad,-0.2701757866916682,-0.27259888169723795,-0.2678074262718535,-0.2733750778341697,-0.2669764955491667,1.0
gaussian,mae,0.005,mid,broad,-0.20796808797470542,-0.20986019242830872,-0.2060314421817147,-0.21051756541971173,-0.20541861052969912,1.0
gaussian,mae,0.01,sharp,mid,0.12497944074125723,0.1234148543864074,0.1264498869076878,0.12294995348604235,0.12700892799647212,0.0
gaussian,mae,0.01,sharp,broad,-0.017304463023553263,-0.01846105850300272,-0.016180111728805596,-0.01886574793930143,-0.015743178107805095,1.0
gaussian,mae,0.01,mid,broad,-0.14228390376481048,-0.1440023997140462,-0.14064133949996196,-0.1445485285999548,-0.14001927892966617,1.0
gaussian,mae,0.02,sharp,mid,0.17284194172507608,0.1713281186790978,0.17437042127002295,0.1707921757006377,0.17489170774951446,0.0
gaussian,mae,0.02,sharp,broad,0.3181853379819949,0.31507026990090786,0.32124475774478944,0.31403306106221957,0.3223376149017702,0.0
gaussian,mae,0.02,mid,broad,0.14534339625691883,0.14364865007492528,0.14704094412633706,0.1430865797115577,0.14760021280227997,0.0
gaussian,mae,0.04,sharp,mid,0.17647637457441656,0.17494127327273937,0.17798663845015625,0.1744263671656973,0.17852638198313583,0.0
gaussian,mae,0.04,sharp,broad,0.3299414345289897,0.32662086905568327,0.33326689893355016,0.3255168468585399,0.33436602219943956,0.0
gaussian,mae,0.04,mid,broad,0.15346505995457316,0.15154870898643757,0.1554020952688126,0.15090795879837612,0.1560221611107702,0.0
gaussian,mae,0.08,sharp,mid,0.15954759105938943,0.1579350654837473,0.16114454797431804,0.15739216737785613,0.16170301474092272,0.0
gaussian,mae,0.08,sharp,broad,0.23122244465065706,0.22774266536246024,0.2347233013769231,0.22659136066776187,0.23585352863355225,0.0
gaussian,mae,0.08,mid,broad,0.07167485359126763,0.0695179802073497,0.0738043052512269,0.0688538396803672,0.07449586750216806,0.0
gaussian,mae,0.16,sharp,mid,0.12368946770178435,0.12198139599754351,0.12538975097969224,0.12144199661826141,0.1259369387853073,0.0
gaussian,mae,0.16,sharp,broad,0.14139153103568874,0.13803340405971426,0.14481120285280338,0.1368656723796444,0.1459173896917331,0.0
gaussian,mae,0.16,mid,broad,0.017702063333904394,0.01578931571105855,0.019742605810918183,0.015091077370601946,0.020313049297206842,0.0
gaussian,rmse,0.0,sharp,mid,-0.20509026684397802,-0.20684571889966588,-0.20337507131859692,-0.2074043678670267,-0.20277616582092933,1.0
gaussian,rmse,0.0,sharp,broad,-0.4711348421508076,-0.4751854788581059,-0.4672992583734897,-0.4764215773242011,-0.4658481069774141,1.0
gaussian,rmse,0.0,mid,broad,-0.26604457530682957,-0.26838743214233135,-0.2637977574018286,-0.26906296246824657,-0.26302618814541256,1.0
gaussian,rmse,0.005,sharp,mid,-0.07777351934126309,-0.07861750413397968,-0.07700109165682133,-0.07888227522420975,-0.07666476345831642,1.0
gaussian,rmse,0.005,sharp,broad,-0.33866044807879025,-0.3415623241548544,-0.3359655006478681,-0.3424205160486947,-0.3349003801088858,1.0
gaussian,rmse,0.005,mid,broad,-0.26088692873752717,-0.26324405945193297,-0.2586217232732583,-0.263919600233981,-0.25785425724107336,1.0
gaussian,rmse,0.01,sharp,mid,0.15668855416670058,0.1548422922926889,0.15852080781567685,0.1542543202351835,0.15912278809821764,0.0
gaussian,rmse,0.01,sharp,broad,-0.02127462136596761,-0.02259772749857075,-0.01992616693063937,-0.023032240431662434,-0.019517002300272788,1.0
gaussian,rmse,0.01,mid,broad,-0.1779631755326682,-0.17999709916266324,-0.17610772622394208,-0.18063275086476868,-0.1752936002005677,1.0
gaussian,rmse,0.02,sharp,mid,0.2167980504381012,0.215005607092333,0.21869590991984228,0.21436432566988256,0.2192317752063198,0.0
gaussian,rmse,0.02,sharp,broad,0.39911925707459317,0.3953193353738231,0.4029190254789447,0.3940405015141031,0.40419801263508326,0.0
gaussian,rmse,0.02,mid,broad,0.182321206636492,0.1802460246390068,0.18437558876628454,0.17952123548873555,0.18512117778424847,0.0
gaussian,rmse,0.04,sharp,mid,0.221374764116406,0.2195932014647342,0.2232629324482924,0.21895449627291141,0.22379503195990058,0.0
gaussian,rmse,0.04,sharp,broad,0.41420230588482604,0.4103079237941016,0.418089886459618,0.40891703253317596,0.4194875792364761,0.0
gaussian,rmse,0.04,mid,broad,0.19282754176842004,0.19054005595942244,0.19512757925896637,0.1897415633190487,0.19591352021779138,0.0
gaussian,rmse,0.08,sharp,mid,0.20029778950703453,0.1984658535976487,0.20220114294819197,0.1977629280394391,0.20283265097462996,0.0
gaussian,rmse,0.08,sharp,broad,0.29093418042515573,0.28695239864603655,0.29503006168924895,0.2854799484356121,0.2963884124146994,0.0
gaussian,rmse,0.08,mid,broad,0.0906363909181212,0.08826003793806825,0.0930356691303973,0.08737413465327956,0.09389864718296284,0.0
gaussian,rmse,0.16,sharp,mid,0.15523411618007554,0.15333760854455203,0.15716298269010967,0.1526941590092359,0.15777407335091517,0.0
gaussian,rmse,0.16,sharp,broad,0.17893569173764778,0.1752591706426422,0.18281385802041525,0.17391420887311432,0.18395717460218125,0.0
gaussian,rmse,0.16,mid,broad,0.02370157555757224,0.021589669069976357,0.025777610344059492,0.020940476796107447,0.026462674319037035,0.0
