weighting,metric,support_fraction,model,point_score,point_winner,bootstrap_winner_probability,n_stations,n_realisations,block
uniform,rmse,0.08,sharp,0.6435704362140102,False,0.0,256,730,7
uniform,rmse,0.08,mid,0.46995742978681576,False,0.0,256,730,7
uniform,rmse,0.08,broad,0.4205451724497659,True,1.0,256,730,7
uniform,rmse,0.16,sharp,0.8806777518690299,False,0.0,256,730,7
uniform,rmse,0.16,mid,0.7464869906026926,False,0.0,256,730,7
uniform,rmse,0.16,broad,0.7416461405544291,True,1.0,256,730,7
gaussian,mae,0.0,sharp,0.022590886938962308,True,1.0,256,730,7
gaussian,mae,0.0,mid,0.18620701891324254,False,0.0,256,730,7
gaussian,mae,0.0,broad,0.3983473811070014,False,0.0,256,730,7
gaussian,mae,0.005,sharp,0.06822918185439958,True,1.0,256,730,7
gaussian,mae,0.005,mid,0.13043688057136235,False,0.0,256,730,7
gaussian,mae,0.005,broad,0.3384049685460678,False,0.0,256,730,7
gaussian,mae,0.01,sharp,0.19889204330682664,False,0.0,256,730,7
gaussian,mae,0.01,mid,0.0739126025655694,True,1.0,256,730,7
gaussian,mae,0.01,broad,0.2161965063303799,False,0.0,256,730,7
gaussian,mae,0.02,sharp,0.37414274478845355,False,0.0,256,730,7
gaussian,mae,0.02,mid,0.20130080306337747,False,0.0,256,730,7
gaussian,mae,0.02,broad,0.05595740680645865,True,1.0,256,730,7
gaussian,mae,0.04,sharp,0.4023840013068757,False,0.0,256,730,7
gaussian,mae,0.04,mid,0.22590762673245912,False,0.0,256,730,7
gaussian,mae,0.04,broad,0.07244256677788598,True,1.0,256,730,7
gaussian,mae,0.08,sharp,0.44744169568130826,False,0.0,256,730,7
gaussian,mae,0.08,mid,0.28789410462191883,False,0.0,256,730,7
gaussian,mae,0.08,broad,0.2162192510306512,True,1.0,256,730,7
gaussian,mae,0.16,sharp,0.5889545731769097,False,0.0,256,730,7
gaussian,mae,0.16,mid,0.46526510547512534,False,0.0,256,730,7
gaussian,mae,0.16,broad,0.44756304214122095,True,1.0,256,730,7
gaussian,rmse,0.0,sharp,0.028317382353963673,True,1.0,256,730,7
gaussian,rmse,0.0,mid,0.23340764919794169,False,0.0,256,730,7
gaussian,rmse,0.0,broad,0.4994522245047713,False,0.0,256,730,7
gaussian,rmse,0.005,sharp,0.0855128202977879,True,1.0,256,730,7
gaussian,rmse,0.005,mid,0.16328633963905098,False,0.0,256,730,7
gaussian,rmse,0.005,broad,0.42417326837657815,False,0.0,256,730,7
gaussian,rmse,0.01,sharp,0.24943591084813913,False,0.0,256,730,7
gaussian,rmse,0.01,mid,0.09274735668143855,True,1.0,256,730,7
gaussian,rmse,0.01,broad,0.27071053221410674,False,0.0,256,730,7
gaussian,rmse,0.02,sharp,0.4691544505364948,False,0.0,256,730,7
gaussian,rmse,0.02,mid,0.2523564000983936,False,0.0,256,730,7
gaussian,rmse,0.02,broad,0.0700351934619016,True,1.0,256,730,7
gaussian,rmse,0.04,sharp,0.5047033316175661,False,0.0,256,730,7
gaussian,rmse,0.04,mid,0.2833285675011601,False,0.0,256,730,7
gaussian,rmse,0.04,broad,0.09050102573274003,True,1.0,256,730,7
gaussian,rmse,0.08,sharp,0.5611065924385094,False,0.0,256,730,7
gaussian,rmse,0.08,mid,0.3608088029314748,False,0.0,256,730,7
gaussian,rmse,0.08,broad,0.2701724120133536,True,1.0,256,730,7
gaussian,rmse,0.16,sharp,0.7375331879779569,False,0.0,256,730,7
gaussian,rmse,0.16,mid,0.5822990717978813,False,0.0,256,730,7
gaussian,rmse,0.16,broad,0.5585974962403091,True,1.0,256,730,7
