weighting,metric,support_fraction,model_a,model_b,support_shift_in_contrast,pointwise_ci_low,pointwise_ci_high,simultaneous_ci_low,simultaneous_ci_high,point_order_reversed_vs_point
uniform,mae,0.16,mid,broad,0.21445625121940037,0.2116101604387872,0.217601530066306,0.21072076107891632,0.21819174135988442,True
uniform,rmse,0.005,sharp,mid,0.24122369305001984,0.23887083007560944,0.24362270064581962,0.2382082731961188,0.24423911290392086,True
uniform,rmse,0.005,sharp,broad,0.260161208781586,0.2577907867940228,0.262602514449567,0.25711362763698004,0.26320878992619196,False
uniform,rmse,0.005,mid,broad,0.018937515731566212,0.018652659716267398,0.01922915764985006,0.018574374717184833,0.01930065674594759,False
uniform,rmse,0.01,sharp,mid,0.40666954199576644,0.4031489171444087,0.41042675486175,0.4021512789874411,0.4111878050040918,True
uniform,rmse,0.01,sharp,broad,0.7228700397910651,0.7164695873357091,0.7297638209655749,0.7145340950106674,0.7312059845714628,True
uniform,rmse,0.01,mid,broad,0.3162004977952987,0.31310068814982267,0.3195979567485418,0.3120819002582354,0.32031909533236197,True
uniform,rmse,0.02,sharp,mid,0.4253211341739996,0.42176395163548547,0.4290867404630847,0.42080629514319673,0.42983597320480244,True
uniform,rmse,0.02,sharp,broad,0.9433576051012947,0.9353342634005632,0.9516598389306596,0.933187830968987,0.9535273792336024,True
uniform,rmse,0.02,mid,broad,0.5180364709272951,0.5136393380526367,0.522779347815341,0.5123153290580624,0.5237576127965278,True
uniform,rmse,0.04,sharp,mid,0.42144112621255697,0.4179136418240415,0.42517155403192325,0.4169329750936516,0.4259492773314623,True
uniform,rmse,0.04,sharp,broad,0.837944047644762,0.8302305104371864,0.8458703227024291,0.8280674786181678,0.8478206166713563,True
uniform,rmse,0.04,mid,broad,0.41650292143220513,0.41215093587093177,0.42098737338063424,0.4109344154233453,0.42207142744106496,True
uniform,rmse,0.08,sharp,mid,0.3786315522593003,0.37521518402683657,0.38226601328054044,0.3741397864088743,0.3831233181097263,True
uniform,rmse,0.08,sharp,broad,0.6940896087868378,0.6869460131523006,0.7013735060805769,0.6849227078904098,0.7032565096832658,True
uniform,rmse,0.08,mid,broad,0.31545805652753744,0.3117247520021841,0.3193200065468495,0.31063682721843067,0.3202792858366442,True
uniform,rmse,0.16,sharp,mid,0.33920930709844305,0.33591906113028086,0.34261685700552397,0.33496978105077185,0.34344883314611424,True
uniform,rmse,0.16,sharp,broad,0.6100959563371942,0.6033867886495682,0.6168362282822047,0.6016214627304766,0.6185704499439117,True
uniform,rmse,0.16,mid,broad,0.2708866492387511,0.26742517616026046,0.2742684643589029,0.26652365397326416,0.27524964450423806,True
gaussian,mae,0.005,sharp,mid,0.10140843325731747,0.10030896333226874,0.10248884754498154,0.10001941935678471,0.10279744715785022,False
gaussian,mae,0.005,sharp,broad,0.10558070747637088,0.10446933082158175,0.10664521321372682,0.10420271965950278,0.10695869529323898,False
gaussian,mae,0.005,mid,broad,0.004172274219053446,0.004029281388659013,0.004316849368046,0.003986790719698705,0.0043577577184081865,False
gaussian,mae,0.01,sharp,mid,0.2885955727155375,0.2857091027580193,0.2914454624803126,0.2849009097666498,0.2922902356644252,True
gaussian,mae,0.01,sharp,broad,0.3584520311444858,0.3549545476558996,0.36172979513723313,0.35414231954424064,0.362761742744731,False
gaussian,mae,0.01,mid,broad,0.06985645842894839,0.06901656574382013,0.07071285147593331,0.06877821128995401,0.07093470556794276,False
gaussian,mae,0.02,sharp,mid,0.3364580736993563,0.3335396107251279,0.33939069540205713,0.3326130891812393,0.34030305821747336,True
gaussian,mae,0.02,sharp,broad,0.6939418321500339,0.6875223128993722,0.7002072664288398,0.6857541160748474,0.7021295482252204,True
gaussian,mae,0.02,mid,broad,0.3574837584506777,0.3539515199187664,0.3608984767928208,0.3530242434812481,0.3619432734201073,True
gaussian,mae,0.04,sharp,mid,0.3400925065486968,0.33715424167008406,0.34307134470393963,0.33624111834502796,0.3439438947523657,True
gaussian,mae,0.04,sharp,broad,0.7056979286970289,0.6991428504250629,0.7121893683249929,0.697265079567763,0.7141307778262947,True
gaussian,mae,0.04,mid,broad,0.365605422148332,0.3618409634709059,0.36929084472970086,0.36087724079823524,0.3703336034984288,True
gaussian,mae,0.08,sharp,mid,0.3231637230336697,0.3201328074579675,0.32615445971531143,0.3192736062236015,0.32705383984373787,True
gaussian,mae,0.08,sharp,broad,0.6069789388186961,0.6004998704338169,0.6133971221447139,0.5987454907522352,0.6152123868851571,True
gaussian,mae,0.08,mid,broad,0.2838152157850265,0.28015055417009627,0.2873949213382719,0.2792365944759707,0.2883938370940823,True
gaussian,mae,0.16,sharp,mid,0.2873055996760646,0.2843233726428106,0.29024208859447087,0.28349093016433635,0.2911202691877929,True
gaussian,mae,0.16,sharp,broad,0.5171480252037278,0.5111709062005523,0.5232888164450303,0.5094676902204059,0.5248283601870497,True
gaussian,mae,0.16,mid,broad,0.22984242552766326,0.22677418783484116,0.23307249756397025,0.22577636961290823,0.2339084814424183,True
gaussian,rmse,0.005,sharp,mid,0.12731674750271493,0.1259571438392083,0.1286104280300839,0.12564560955428866,0.1289878854511412,False
gaussian,rmse,0.005,sharp,broad,0.13247439407201733,0.13114497173274625,0.13376741676701878,0.130802238661633,0.13414654948240165,False
gaussian,rmse,0.005,mid,broad,0.005157646569302399,0.005049720855705156,0.005263647127048644,0.0050218640752682,0.005293429063336598,False
gaussian,rmse,0.01,sharp,mid,0.3617788210106786,0.3583381805642148,0.36523015870235465,0.3573760199917659,0.3661816220295913,True
gaussian,rmse,0.01,sharp,broad,0.44986022078484,0.4458145267687633,0.4539171967464434,0.4446805099777126,0.45503993159196743,False
gaussian,rmse,0.01,mid,broad,0.08808139977416138,0.08709423855874235,0.08905804882470207,0.08680794720265,0.08935485234567275,False
gaussian,rmse,0.02,sharp,mid,0.4218883172820792,0.4183642640947359,0.42554859264370526,0.4173585758067993,0.4264180587573591,True
gaussian,rmse,0.02,sharp,broad,0.8702540992254008,0.8625758028556508,0.8779761674470652,0.8604248371255643,0.8800833613252372,True
gaussian,rmse,0.02,mid,broad,0.44836578194332155,0.4441807574490785,0.4526117635885809,0.442958676991942,0.4537728868947011,True
gaussian,rmse,0.04,sharp,mid,0.426465030960384,0.422960363094304,0.4300908104234703,0.4219447564635877,0.43098530545718033,True
gaussian,rmse,0.04,sharp,broad,0.8853371480356336,0.8776626813095894,0.8934477716657443,0.8753360090433575,0.8953382870279096,True
gaussian,rmse,0.04,mid,broad,0.4588721170752496,0.45458071817246154,0.46341743819778486,0.4532367607593715,0.4645074733911277,True
gaussian,rmse,0.08,sharp,mid,0.40538805635101255,0.40186619406952057,0.4090486265274609,0.4008232674003345,0.40995284530169057,True
gaussian,rmse,0.08,sharp,broad,0.7620690225759633,0.7546326875598056,0.7696374793696673,0.7523636403683419,0.7717744047835847,True
gaussian,rmse,0.08,mid,broad,0.35668096622495077,0.3524875625978315,0.3608877869206341,0.3513310237988531,0.3620309086510484,True
gaussian,rmse,0.16,sharp,mid,0.36032438302405356,0.35688008356657147,0.36382490558233177,0.35589275488001215,0.364756011168095,True
gaussian,rmse,0.16,sharp,broad,0.6500705338884554,0.6431726774051668,0.6572216762856186,0.6411323720122244,0.6590086957646863,True
gaussian,rmse,0.16,mid,broad,0.2897461508644018,0.28615463869193314,0.293466075867443,0.2851027217573601,0.2943895799714435,True
